formula,composition,e0025,e05,e10,band0,band1,spacegroup,mattersim_energy_per_atom,mattersim_e_hull,vasp_energy_per_atom,dft_e_hull
Ca2P1_s055,Ca2P1,19.03380201378398,41.56841547781531,44.21210668503199,16.81182114210466,42.820458500505154,123,-3.9984529283311634,-0.1367568704817037,-3.971329963333334,-0.10284403500000039
Na6Br5_s008,Na6Br5,0.0,29.84676297337729,30.06054111468346,22.882293553650538,0.0,123,-2.8711329373446377,0.02518682046370113,-2.8559318581818185,0.043757432131660945
Y2S1_s053,Y2S1,27.791542216421096,6.0753358319213255,19.665530365309785,5.8225623441643695,39.277065315782,99,-6.9664111667209205,0.03778118557400134,-6.97262443,0.04644082777777747
Ca2P1_s056,Ca2P1,14.874652479184174,33.710076229939304,32.48122303560604,13.32753039530014,32.32060212481823,99,-3.952959272596571,-0.0912632147471113,-3.900443603333333,-0.031957674999999686
Rb5O1_s006,Rb5O1,43.55075833257094,44.37502299893693,44.78449784259914,44.525309567774286,31.939729860214523,87,-2.0879193941752114,0.02527177333831787,-2.0913659233333335,0.0389625410416663
K5O1_s072,K5O1,91.43409986842828,90.84391167039423,89.90924185768924,90.03887382798995,88.00346478304304,87,-2.258188565572103,-0.010470529397328843,-2.2214385683333333,0.037983331833333356
Y5N4_s003,Y5N4,37.48699976237682,40.982098321947625,41.96959706573476,0.0,37.8866015843308,87,-8.773228115505642,0.02051088545057489,-8.807951235555556,-0.010938565185186988
Cs5S1_s057,Cs5S1,0.0,43.19783269055258,43.53298543804143,45.30763412720618,0.0,87,-1.8921089172363281,-0.004025012254714966,-1.8822623383333335,0.03283334936781612
Cs5Cl4_s046,Cs5Cl4,61.592031215124166,62.62538563595923,62.97964465280577,61.27788197150718,0.0,87,-3.0202630360921225,0.015764017899831284,-3.006719265,0.04380956745210751
Rb5O1_s072,Rb5O1,0.0,44.24979378014192,44.53368361590621,43.964058506658674,38.709370330207015,87,-2.0879189173380532,0.025272250175476074,-2.0913845516666667,0.038943912708333084
Li5N1_s001,Li5N1,88.14322737538093,85.33331274469826,77.98751372910944,74.91982981178828,0.0,87,-3.191584269205729,0.049514134724935044,-3.220806638333333,0.0037399155555557506
Cs10I9_s021,Cs10I9,0.0,38.10390540064122,38.10390540064122,37.57010373423462,0.0,83,-2.6698855349892066,-0.032573125864330255,-2.637459366842105,0.020274479056261452
Rb10Cl9_s023,Rb10Cl9,0.0,41.50655654347498,41.33883293119601,41.65245977677255,0.0,83,-3.235478451377467,-0.012846218912224927,-3.1879105726315786,0.03966184381578941
Rb10Br9_s022,Rb10Br9,0.0,40.51946539379773,40.56365242885544,40.30447825325684,0.0,83,-2.9676589965820312,-0.01284968225579508,-2.925578454736842,0.03475914065789443
Cs10Cl9_s026,Cs10Cl9,0.0,38.323237731756016,38.48379672013223,38.32878118562172,0.0,83,-3.198476891768606,-0.01808367591155191,-3.1707805115789474,0.02153295642468267
